****Estoy modificando un archivo de texto, en este caso, a trav√©s de nano desde la consola de ubuntu

dir	descrip	tam dir
 Directorio de D:\ArreglaScorecards\ru	"32 archivos 42,913,135,299 bytes"	39.966
 Directorio de D:\Respaldo Jes£s	" 1 archivos  8,172,552,443 bytes"	7.611
 Directorio de D:\B\Contingencia_Hipotecario\Bases\Contingencias_Hip	"36 archivos  7,327,981,686 bytes"	6.825
 Directorio de D:\Contingencia_Hipotecario\Bases\Contingencias_Hip	"36 archivos  7,327,981,686 bytes"	6.825
 Directorio de D:\Informaci¢n MILA productiva	" 5 archivos  5,960,350,025 bytes"	5.551
 Directorio de D:\B\Consumo\C2013\Contas	"12 archivos  5,065,253,176 bytes"	4.717
 Directorio de D:\TDC_RARCIERRE2011\TS	"10 archivos  3,544,459,360 bytes"	3.301
 Directorio de D:\correo Hector	" 3 archivos  2,688,896,000 bytes"	2.504
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS	" 7 archivos  1,904,146,578 bytes"	1.773
 Directorio de D:\Real Ba§il 2010	" 8 archivos  1,799,388,080 bytes"	1.676
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Universos	"73 archivos  1,549,966,037 bytes"	1.444
 Directorio de D:\NvosModelosSP\InfoRAR	" 9 archivos  1,468,231,877 bytes"	1.367
 Directorio de D:\Venta de Cartera TDC Consumo Ago15\Informaci¢n CierreAgo15	"10 archivos  1,167,465,020 bytes"	1.087
 Directorio de D:\Recalibraci¢nCNBV TDC\TRANSACCIONALIDAD	"64 archivos  1,136,861,278 bytes"	1.059
 Directorio de D:\GravityHipotecasV2\BD Admisi¢n	"10 archivos  1,123,461,154 bytes"	1.046
 Directorio de D:\Venta de Cartera TDC Consumo Ago15\Informaci¢n	" 8 archivos    937,842,441 bytes"	0.873
 Directorio de D:\B\Consumo\C2013\PD	"26 archivos    923,237,295 bytes"	0.860
 Directorio de D:\Pruebas EstrÇs Empresas\Info UAIR	"11 archivos    871,790,426 bytes"	0.812
 Directorio de D:\GDrive\Nueva carpeta\Interpol\El Pintor	"15 archivos    830,742,917 bytes"	0.774
 Directorio de D:\VRB	" 2 archivos    818,134,964 bytes"	0.762
 Directorio de D:\B\Reconstruccion Hipotecaria Nov\estimacion feb12	"15 archivos    728,261,392 bytes"	0.678
 Directorio de D:\Reconstruccion Hipotecaria Nov\estimacion feb12	"15 archivos    728,261,392 bytes"	0.678
 Directorio de D:\GDrive\Nueva carpeta\Arcade Fire\The Suburbs	"20 archivos    678,299,572 bytes"	0.632
 Directorio de D:\Lossless\Miles Davis\Bitches Brew Disc 2	" 5 archivos    623,419,754 bytes"	0.581
 Directorio de D:\Lossless\Miles Davis\On The Corner	" 4 archivos    578,520,032 bytes"	0.539
 Directorio de D:\Financiera\2010\CNBV\primera entrega	" 9 archivos    540,001,782 bytes"	0.503
 Directorio de D:\Exchange	" 2 archivos    535,634,944 bytes"	0.499
 Directorio de D:\Reconstruccion Hipotecaria Nov	"36 archivos    513,093,145 bytes"	0.478
 Directorio de D:\B\Reconstruccion Hipotecaria Nov	"35 archivos    503,789,081 bytes"	0.469
 Directorio de D:\Lossless\Miles Davis\Bitches Brew Disc 1	" 2 archivos    498,532,630 bytes"	0.464
 Directorio de D:\GDrive\Nueva carpeta\Arcade Fire\Neon Bible	"15 archivos    498,087,888 bytes"	0.464
 Directorio de D:\InfoTDC2013\Quitas	"25 archivos    479,561,969 bytes"	0.447
 Directorio de D:\InfoTDC2012\Quitas en M820867	"32 archivos    475,083,452 bytes"	0.442
 Directorio de D:\B\Consumo\C2013\Castigos	"28 archivos    463,848,391 bytes"	0.432
 Directorio de D:\GDrive\Nueva carpeta\Soundtrack\Pulp Fiction [Original Motion Picture Soundtrack]	"20 archivos    440,177,876 bytes"	0.410
 Directorio de D:\Lossless\Miles Davis\Filles de Kilimanjaro	" 6 archivos    424,722,914 bytes"	0.396
 Directorio de D:\Base Hipotecas	" 4 archivos    423,284,736 bytes"	0.394
 Directorio de D:\Lossless\Miles Davis\In a Silent Way	" 2 archivos    403,730,612 bytes"	0.376
 Directorio de D:\Financiera_Ayudamos\Info_Financiera\Semanal\2010 Enero -Septiembre	" 9 archivos    388,329,984 bytes"	0.362
 Directorio de D:\Lossless\Miles Davis\Water Babies	" 6 archivos    384,117,787 bytes"	0.358
 Directorio de D:\NvosModelosSP\InfoVero	"30 archivos    362,424,885 bytes"	0.338
 Directorio de D:\Lossless\Miles Davis\Kind of Blue	" 6 archivos    352,089,760 bytes"	0.328
